,ID,Time,Category,Channel,Duration,EndPoint,Back_count,Forward_count,Dash_count,Max_Speed_x,Time_int,앞뒤이동차이,앞이동배속차이,뒤이동배속차이,이동전체배속차이,대쉬배속차이,앞이동대쉬차이,뒤이동대쉬차이,이동전체대쉬차이,Max_Speed_binary,Category_Mapped_Value,Max_Speed_x_categorical
1139,mq6L0xXR,2024-04-14 04:01:02_426921,Gaming,뒷목잡는맹꽁이방,547,546.321,0,0,0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1140,mq6L0xXR,2024-04-14 04:08:15_855784,Gaming,뒷목잡는맹꽁이방,403,402.841,3,1,0,1.0,4,122.482033,10.424895,123.28339466666667,95.06876975,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1141,mq6L0xXR,2024-04-14 04:18:26_563917,Gaming,뒷목잡는맹꽁이방,630,598.838864,1,0,0,1.0,4,0.0,0.0,68.54280899999999,68.54280899999999,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1142,mq6L0xXR,2024-04-14 04:18:27_507687,Gaming,뒷목잡는맹꽁이방,403,0.109307,0,0,0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1144,mq6L0xXR,2024-04-14 04:21:02_377141,Gaming,이도원,520,114.699813,1,1,0,1.0,4,215.81906999999998,216.032774,0.213704,108.123239,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1145,mq6L0xXR,2024-04-14 13:56:31_986270,Gaming,이도원,660,18.461135,0,0,0,1.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1146,mq6L0xXR,2024-04-14 14:00:24_046997,Comedy,너튜브 Neotube,231,230.341,0,0,0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
1147,mq6L0xXR,2024-04-14 14:00:25_019181,Gaming,이도원,660,2.0,0,0,0,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1148,mq6L0xXR,2024-04-14 21:36:09_467154,Entertainment,디글 :Diggle,415,407.554405,0,0,0,1.5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8571428571428572,1.5
1149,mq6L0xXR,2024-04-15 02:37:09_192832,Gaming,안산저격수 ANS,485,473.850415,0,0,0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1150,mq6L0xXR,2024-04-15 02:53:28_520736,Gaming,나무늘보,973,952.632433,2,0,0,1.0,2,0.0,0.0,23.5662025,23.5662025,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1151,mq6L0xXR,2024-04-15 16:37:15_310439,Gaming,이도원,484,476.172383,1,0,0,1.0,16,0.0,0.0,0.172353,0.172353,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1152,mq6L0xXR,2024-04-15 16:37:22_856799,Gaming,이도원,607,6.427891,0,0,0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
