ID,Time,URL,Back,Forward,Dash,Speed,EndPoint,Category,Channel,Duration
apmanBZY,2024-04-12 12:57:37_040530,https://m.youtube.com/watch?v=lTab-PE-LHA&pp=ygUd66Ck7JqxIOyWtOumsOyZleyekCDrhbjrnpjrsKk%3D,[0.071377],[22.113341],[],"[[1, 0]]",62.381,Music,마산나얼,63
apmanBZY,2024-04-12 12:59:54_435409,https://m.youtube.com/watch?v=Ya4PGcGb36w&pp=ygUT66Ck7JqxIOyWtOumsOyZleyekA%3D%3D,"[0.798443,0]",[142.939249],[],"[[1, 0]]",145.615769,Music,HYUK TUBE,255
apmanBZY,2024-04-12 14:33:59_159102,https://m.youtube.com/watch?v=DhkPhA5nBlM,"[0,0,190.977903,0,0,0,0]","[10.786261,32.070148,74.622877,120.838615,204.255249,355.182141,355.486352,373.229835,393.568879,426.821289,447.730273,448.328]",[],"[[1, 0]]",458.774745,Sports,야신야덕,670
apmanBZY,2024-04-12 14:34:29_354240,https://m.youtube.com/watch?v=UyPxrUHo5Rg,[],[],[],"[[1, 0]]",11.303381,Gaming,겜스트GAMEST,22093
apmanBZY,2024-04-12 14:34:37_182668,https://m.youtube.com/watch?v=-BsXDFrQk1E,[],[],[],"[[1, 0]]",2.620867,Gaming,겜스트GAMEST,700
apmanBZY,2024-04-12 14:34:38_398199,https://m.youtube.com/watch?v=UyPxrUHo5Rg,[],[],[],"[[1, 0]]",0.266245,Gaming,겜스트GAMEST,22093
apmanBZY,2024-04-12 14:39:08_592490,https://m.youtube.com/watch?v=g2aQ7mX0G5g,[],[],[],"[[1, 0]]",1.15506,Sports,스포타임,184
apmanBZY,2024-04-12 18:39:42_171464,https://m.youtube.com/watch?v=qw4mWfb9K9A,[],[],[],"[[1, 0]]",0.676893,Entertainment,더들리,994
apmanBZY,2024-04-12 21:34:47_135297,https://m.youtube.com/watch?v=lkYiscVShJ0,"[46.944043,38.345447,110.901993,127.133723,372.159209,353.969466,592.27992,0,0]","[24.755679,55.185861,109.300039,120.264807,125.678707,157.020238,158.718227,168.789064,188.611839,219.139469,249.841914,380.115188,383.596519,394.271475,487.380053,601.369433,851.386113,861.906631,940.669512,1047.948296,1077.629823,1089.204378,1120.46091]",[],"[[1, 0], [1, 13.572591]]",1349.317817,Gaming,테스터훈 TesterHoon,1376
apmanBZY,2024-04-12 21:37:10_196061,https://m.youtube.com/watch?v=_vgrxHvJxrU,"[2.070062,0]","[21.507159,51.878687,72.762467,83.519612,98.520569,109.049258,119.298529,134.959804,148.479591,158.175529,168.196522,178.258408]",[],"[[1, 0]]",213.210577,Gaming,우왁굳의 게임방송,1383
apmanBZY,2024-04-12 21:44:13_544127,https://m.youtube.com/watch?v=-WkHaWPn0Ww,"[0,201.727244]","[11.094748,21.184717,39.876318,51.341063,62.051593,72.233305,82.570818,92.570056,123.353391,150.393269,160.149189,180.220859,190.373386,200.406624,210.433733]",[],"[[1, 0]]",212.30489,Entertainment,JTBC Entertainment,340
apmanBZY,2024-04-13 00:18:16_176680,https://m.youtube.com/watch?v=uU71PgqLrrA,[],[40.704131],[],"[[1, 0]]",40.704131,Gaming,이상호,1294
apmanBZY,2024-04-13 02:22:29_308105,https://m.youtube.com/watch?v=XXduofGsA7A&pp=ygUG7J2067Ck,[],[],[],"[[1, 0]]",0.473871,Music,장범준,197
apmanBZY,2024-04-13 04:36:10_974481,https://m.youtube.com/watch?v=RvpDKAma91E,"[0,467.958573,656.534122,1094.732782,0,1640.297288,1883.177708,2153.264256,2162.277785,2320.979791]","[11.467091,85.645507,97.850149,108.41476,119.674142,130.134148,142.045256,152.777331,238.421657,248.986701,258.889226,269.744719,280.032691,313.788765,324.165612,338.781124,349.672672,360.828711,431.899611,442.562815,453.035635,463.540267,474.653888,611.81674,634.389452,654.790322,665.762296,720.695855,746.313668,756.057346,766.654787,807.148235,903.811467,916.013726,926.794248,936.820997,946.859814,957.570106,1003.185646,1013.216106,1029.126414,1059.626497,1069.85344,1080.683233,1101.550124,1105.25107,1122.109661,1133.853284,1147.722379,1179.196682,1189.220103,1199.26132,1209.268518,1220.784966,1230.840296,1243.368653,1256.091712,1266.212753,1276.110142,1285.931543,1296.471601,1348.099755,1358.39647,1368.479938,1378.665313,1441.413891,1451.375181,1508.480623,1538.658326,1592.501844,1602.524871,1612.755863,1629.438244,1639.427133,1649.442754,1726.241128,1738.312275,1748.849478,1759.480309,1775.733137,1787.871266,1798.50511,1844.737568,1882.368368,1892.423268,1934.331554,1947.095444,1980.455021,1990.589646,2004.430965,2014.289396,2026.334593,2036.460465,2053.181209,2063.109841,2097.211022,2107.660257,2118.048654,2128.228899,2141.978261,2151.966497,2162.004414,2169.79614,2203.129283,2213.318023,2223.777783,2234.044177,2244.404176,2254.251729,2265.062193,2296.127501,2306.010052,2317.813485,2328.060324,2331.744475,2345.637665,2355.954626,2368.526734,2378.527863,2388.426814,2399.226614,2409.373418,2422.115348,2432.181285,2442.203545,2452.216009]",[],"[[1, 0], [1, 10.998115], [1, 2499.935915]]",2503.361,People & Blogs,감스트GAMST,2504
apmanBZY,2024-04-13 04:37:44_454022,https://m.youtube.com/watch?v=JOi8bJ7FZtg,[],[],[],"[[1, 0]]",2503.361,Education,연고티비,893
apmanBZY,2024-04-13 04:43:35_764755,https://m.youtube.com/watch?v=GeVDKYaJBNo,[],[],[],"[[1, 0]]",242.726463,Gaming,무지개맛 Rainbow Flavor,426
apmanBZY,2024-04-13 05:26:11_525691,https://m.youtube.com/watch?v=sJCLap7-v0s,"[0.129528,0,0,0,0,532.198269,0,0,0,0,1260.598823,0]","[155.405522,266.334222,387.840428,399.831162,409.616869,433.267842,506.049107,508.379533,522.034113,531.835437,541.728725,555.324735,587.637519,598.697624,602.364913,639.289574,669.593539,679.600958,688.753348,890.005099,908.848721,1153.578637,1163.666854,1173.761993,1243.621199,1316.666636]",[],"[[1, 0], [1, 17.653593]]",1316.666636,Entertainment,JTBC Voyage,2402
apmanBZY,2024-04-13 05:26:31_509043,https://m.youtube.com/watch?v=OM37m_d37dI&pp=ygUR67SEIOyFlOy4oCDsvZTrlJQ%3D,[],[],[],"[[1, 0]]",3.137092,Howto & Style,하오칸,31
apmanBZY,2024-04-13 05:31:22_842841,https://m.youtube.com/watch?v=xtLiiuKLGco,[0.787692],[187.749303],[],"[[1, 0]]",190.489348,Entertainment,뮤니버스,342
apmanBZY,2024-04-13 05:52:21_147923,https://m.youtube.com/watch?v=yYd4eDXG5Vo,[],"[240.007467,250.568544,261.261002,499.774191,810.128659]",[],"[[1, 0]]",812.734774,Entertainment,할명수,1089
apmanBZY,2024-04-13 05:54:47_438653,https://m.youtube.com/watch?v=yOCqguktGB8,"[0.27724,0,901.139719,948.913158,1191.939489]","[10.831692,879.687251,910.77702,936.783267,946.662849,957.47517,962.042943,971.925688,983.889356,994.620656,1006.837659,1027.784212,1047.547397,1057.582207,1068.614245,1078.677465,1098.524382,1118.517858,1128.77467,1139.161591,1149.335591,1159.394155,1169.206556,1179.617567,1189.751665,1200.03464,1228.721578,1242.121267,1252.198341,1262.269552,1272.496449,1284.440907]",[],"[[1, 0], [1, 916.223064]]",1289.453486,Entertainment,JTBC Entertainment,1654
apmanBZY,2024-04-13 05:55:45_315097,https://m.youtube.com/watch?v=syqnvbRHkHg&pp=ygUJ7KCV7ZiE7IiY,"[55.766137,50.079525,50.916697]","[30.780061,43.459622,63.459819,60.900923,69.115906,89.388157,112.678428]",[],"[[1, 0]]",112.678428,People & Blogs,ballerpark tv,165
apmanBZY,2024-04-13 05:56:03_068608,https://m.youtube.com/watch?v=E3dClBSvzj4&pp=ygUJ7KCV7ZiE7IiY,[],[],[],"[[1, 0]]",12.972115,Sports,야토리,276
apmanBZY,2024-04-13 05:56:12_944739,https://m.youtube.com/watch?v=maDeLItDeMI,[],[],[],"[[1, 0]]",0.126048,Entertainment,JTBC Entertainment,1573
apmanBZY,2024-04-13 05:56:28_954673,https://m.youtube.com/watch?v=svds0cl8K4c,[],[],[],"[[1, 0]]",4.178449,Sports,KBS 스포츠,315
apmanBZY,2024-04-13 05:56:43_545326,https://m.youtube.com/watch?v=IWyEhtRKdrQ,[],[],[],"[[1, 0]]",2.323921,Sports,형도SPORTS+,196
apmanBZY,2024-04-13 05:56:55_160037,https://m.youtube.com/watch?v=gKQJAQoqjOI,[],[],[],"[[1, 0]]",0.393642,People & Blogs,쓱랑해,1306
apmanBZY,2024-04-13 05:57:13_123565,https://m.youtube.com/watch?v=CEgNRbG3X8s,[],[],[],"[[1, 0]]",0.358269,Sports,이스타TV,1064
apmanBZY,2024-04-13 05:57:15_558460,https://m.youtube.com/watch?v=PHpbIWvl-ms,[],[],[],"[[1, 0]]",1.763773,Gaming,꿀탱탱,14115
apmanBZY,2024-04-13 05:57:37_567207,https://m.youtube.com/watch?v=CEgNRbG3X8s,[],"[16.663725,26.833386,45.677395,55.639295]",[],"[[1, 0], [1, 0]]",58.647902,Sports,이스타TV,1064
apmanBZY,2024-04-13 17:51:47_616570,https://m.youtube.com/watch?v=BL9X19Pw7Qc&t=980s,"[0,0,0,1378.261699,1367.879357]","[980,989.659379,1018.674202,1028.794397,1038.794396,1135.959927,1146.147424,1156.147424,1164.800177,1167.618739,1185.718753,1197.878914,1242.344888,1259.792671,1297.915957,1308.892602,1318.696463,1340.028891,1411.460124,1421.094958,1431.331739,1441.980762,1451.599254,1461.84527,1508.561597,1518.351226,1553.695657,1566.571655,1586.238281]",[],"[[1, 0]]",1586.238281,Sports,이스타TV,1654
apmanBZY,2024-04-13 17:51:55_890409,https://m.youtube.com/watch?v=bDxmdnGYsE8,[],[443.828115],[],"[[1, 0]]",445.080464,Entertainment,꾸티뉴,706
apmanBZY,2024-04-14 01:46:30_031265,https://m.youtube.com/watch?v=JhwZhFKRW5g,"[0,53,0.34552,0,0,0,649.876385,0,0,164.993935,210.780619,0,89.942896,0,0,0,0,0,0,0,0,0,140.753519,0,0,426.256066,459.974758,0,0]","[73.252186,19014.265883,19166.166666,14.751085,552.485065,720.368751,740.791775,21.034954,51.284677,71.090655,161.85424,175.188332,186.763763,208.345135,219.674629,256.346903,275.162096,285.324722,323.463602,340.104211,591.176461,606.896743,626.557193,721.446853,27.230491,37.479875,57.296415,67.761991,78.656976,88.679516,98.644016,196.097223,207.545692,279.799872,290.331547,306.694483,317.132114,327.21721,368.891803,410.937397,421.454548,441.721117,452.316067,462.308699,487.026483,497.034593,507.441779,517.310493,527.107622,545.6956,618.962198,631.318612,70.543146,81.045088,82.857555,88.979335,96.540325,107.587175,118.077126,127.869956,137.949823,148.112437,170.070995,305.483048,424.74424,448.726507,458.726507,469.065783,560.673579,650.884752,660.884752,691.024798]","[[15.217094,552.485065],[720.581045,649.876385]]","[[1, 0]]",767.956234,Gaming,앰비션 유튜브 [AMTUBE],956
apmanBZY,2024-04-14 01:46:35_627312,https://m.youtube.com/watch?v=Effq-96ltx4,[],[],[],"[[1, 0]]",0.623972,Sports,이스타TV,2914
apmanBZY,2024-04-14 01:47:17_240502,https://m.youtube.com/watch?v=Effq-96ltx4,[],[],[],"[[1, 0]]",0.366627,Sports,이스타TV,2914
apmanBZY,2024-04-14 01:48:54_599201,https://m.youtube.com/watch?v=IvUQJAJLDog,[],"[105.226214,165.501648,342.529965,412.815971]","[[2.753903,105.226214]]","[[1, 0]]",412.815971,Entertainment,픽고 PICKGO,478
apmanBZY,2024-04-14 01:49:27_475623,https://m.youtube.com/watch?v=ZZ6-2atJx1A,[],[59.743086],[],"[[1, 0]]",60.22858,People & Blogs,백종원 PAIK JONG WON,92
